연번,용도,장소,주소
114,불법 주정차 단속용,중앙초등학교,대구광역시 수성구 만촌로 125
115,불법 주정차 단속용,황금초등학교,대구광역시 수성구 들안로32길 22
116,불법 주정차 단속용,만촌초등학교,대구광역시 수성구 국채보상로214길 33
117,불법 주정차 단속용,두산초등학교,대구광역시 수성구 동대구로6길 31
118,불법 주정차 단속용,고산초등학교,대구광역시 수성구 달구벌대로 3067
119,불법 주정차 단속용,동산초등학교,대구광역시 수성구 동대구로42길 29
120,불법 주정차 단속용,시지초등학교,대구광역시 수성구 달구벌대로631길 17
121,불법 주정차 단속용,매호초등학교,대구광역시 수성구 달구벌대로647길 30
122,불법 주정차 단속용,범물초등학교,대구광역시 수성구
123,불법 주정차 단속용,용지초등학교,대구광역시 수성구
124,불법 주정차 단속용,욱수초등학교,대구광역시 수성구
125,불법 주정차 단속용,경동초등학교,대구광역시 수성구 청호로76길12
126,불법 주정차 단속용,복명초등학교,대구광역시 수성구 범안로20길8
127,불법 주정차 단속용,범일초등학교,대구광역시 수성구 범안로4길22
128,불법 주정차 단속용,동천초등학교,대구광역시 수성구 상록로16길20
129,불법 주정차 단속용,매동초등학교,대구광역시 수성구 천을로31길16
130,불법 주정차 단속용,지봉초등학교,대구광역시 수성구 지범로31길45
131,불법 주정차 단속용,수성초등학교,대구광역시 수성구 대구 수성구 상화로5길 40
132,불법 주정차 단속용,힐스테이트 범어센트럴-2,대구광역시 수성구 범어동 832
133,불법 주정차 단속용,힐스테이트 범어센트럴-1,대구광역시 수성구 범어동 832
134,불법 주정차 단속용,시지코오롱하늘채,대구광역시 수성구 신매동 566-3
135,불법 주정차 단속용,수성데시앙리버뷰 서편,대구광역시 수성구 수성동1가 679
136,불법 주정차 단속용,수성데시앙리버뷰 남동편,대구광역시 수성구 수성동1가 679
137,불법 주정차 단속용,수성골드클래스 남동편,대구광역시 수성구 중동 366-22
138,불법 주정차 단속용,수성골드클래스 북서편,대구광역시 수성구 중동 366-22
139,불법 주정차 단속용,빌리브범어2차,대구광역시 수성구 범어동 219-42
140,불법 주정차 단속용,빌리브범어2차,대구광역시 수성구 범어동 219-42
141,불법 주정차 단속용,힐스테이트 황금센트럴 정문옆,대구광역시 수성구 황금동 903
142,불법 주정차 단속용,힐스테이트 황금센트럴 남서편,대구광역시 수성구 황금동 903
143,불법 주정차 단속용,신매초등학교,대구광역시 수성구 달구벌대로650길 26
144,불법 주정차 단속용,대청초등학교,대구광역시 수성구 교학로12길 41
145,불법 주정차 단속용,들안길초등학교,대구광역시 수성구 들안로16길 58
146,불법 주정차 단속용,파동초등학교,대구광역시 수성구 파동로51길 34
147,불법 주정차 단속용,삼육초등학교,대구광역시 수성구 청수로 22-23
148,불법 주정차 단속용,동문초등학교,대구광역시 수성구 효행로2길 111
149,불법 주정차 단속용,남양학교,대구광역시 수성구 무학로37안길 6
150,불법 주정차 단속용,동도초등학교 후문,대구광역시 수성구 범어동 783-4
151,불법 주정차 단속용,한가람타운,대구광역시 수성구 명덕로378
152,불법 주정차 단속용,천사유치원,대구광역시 수성구 신매로91
153,불법 주정차 단속용,황금네거리,대구광역시 수성구 황금동 846-7
154,불법 주정차 단속용,범물역,대구광역시 수성구 지범로 182
155,불법 주정차 단속용,NH농협성동지점,대구광역시 수성구 황금동 76
156,불법 주정차 단속용,동문고등학교,대구광역시 수성구 효행로 17
157,불법 주정차 단속용,수성레이크푸르지오 남동편,대구광역시 수성구청수로26길
158,불법 주정차 단속용,수성레이크푸르지오 남서,대구광역시 수성구청수로24길
159,불법 주정차 단속용,경동초등학교,대구광역시 수성구청호로76길12
160,불법 주정차 단속용,동신유치원,대구광역시 수성구교학로4길 39
161,불법 주정차 단속용,이바유치원,대구광역시 수성구파동로30길 61
162,불법 주정차 단속용,북성교회,대구광역시 수성구청수로 191
163,불법 주정차 단속용,범어자이엘라,대구광역시 수성구범어동833
164,불법 주정차 단속용,만촌서한포레스트,대구광역시 수성구만촌동 1321-2
165,불법 주정차 단속용,만촌자이르네 북편,대구광역시 수성구만촌동 883-1
166,불법 주정차 단속용,만촌자이르네 남동편,대구광역시 수성구만촌동 882-31
167,불법 주정차 단속용,만촌자이르네 서편,대구광역시 수성구만촌동 886-16
168,불법 주정차 단속용,해링턴플레이스,대구광역시 수성구만촌동 1040-1
169,불법 주정차 단속용,두산교회앞,대구광역시 수성구상화로 102-1
170,불법 주정차 단속용,사월삼정그린코아카운티,대구광역시 수성구사월동 409-1
171,불법 주정차 단속용,수성메디칼센터,대구광역시 수성구수성동4가 1235-12
172,불법 주정차 단속용,빌리브헤리티지북서편,대구광역시 수성구수성동4가 1122-18
173,불법 주정차 단속용,빌리브헤리티지 남편,대구광역시 수성구수성동4가 1026-18
174,불법 주정차 단속용,쌍용더플래티넘범어,대구광역시 수성구범어동830
